movieId,Year ,title,genres,imdb,Tmdb,Youtubelink,viewCount,likeCount,dislikeCount,commentCount
73268,2010,Daybreakers (2010),Action|Drama|Horror|Thriller,433362,19901,IGrpoxBlCNo,1956775,3358,398,1061
73319,2010,Leap Year (2010),Comedy|Romance,1216492,25195,HrlQBsd8LsE,2531467,8129,223,548
73321,2010,"Book of Eli, The (2010)",Action|Adventure|Drama,1037705,20504,zSMHmtaoXtI,1018472,2551,165,272
73744,2010,If You Love (Jos rakastat) (2010),Drama|Musical|Romance,1380130,40660,5Uegsd1onW0,120104,195,78,113
73929,2010,Legion (2010),Action|Fantasy|Horror|Thriller,1038686,22894,AVZckbroGsk,537767,2225,126,213
74115,2010,Dante's Inferno Animated (2010),Action|Animation|Fantasy,1472122,31156,2A9Jwjl29Mw,330244,377,20,123
74131,2010,Extraordinary Measures (2010),Drama,1244659,27569,cmnMdwYAhTY,158574,119,9,24
74154,2010,When in Rome (2010),Comedy|Romance,1185416,13477,gsb8U014Hs0,5288550,11846,701,163
74156,2010,Edge of Darkness (2010),Drama|Thriller,1226273,12201,hVOH8xrCI9I,442645,218,17,26
74324,2010,Temple Grandin (2010),Drama,1278469,33602,cpkN0JdXRpM,1952098,5144,136,439
74450,2010,Valentine's Day (2010),Comedy|Romance,817230,32856,1K45RdE2qlk,1422002,6086,134,173
74452,2010,"Wolfman, The (2010)",Horror|Thriller,780653,7978,VDBZBjmfXqo,189766,506,21,42
74458,2010,Shutter Island (2010),Drama|Mystery|Thriller,1130884,11324,v8yrZSkKxTA,189584,1126,29,100
74530,2010,Percy Jackson & the Olympians: The Lightning Thief (2010),Adventure|Fantasy,814255,32657,xko1Mx5w4tg,6214608,13427,976,6865
74532,2010,Cop Out (2010),Action|Comedy|Crime,1385867,23742,22RvcEgrpnE,153715,373,24,31
74545,2010,"Ghost Writer, The (2010)",Drama|Mystery|Thriller,1139328,11439,B3NrIz5lwVo,86696,214,15,7
74580,2010,"Spy Next Door, The (2010)",Action|Children|Comedy,1273678,23172,fa2RZf0m39g,398730,687,81,84
74595,2010,Blood Done Sign My Name (2010),Drama,1210039,41894,UsOLhr89WYU,22141,70,5,2
74675,2010,Pudana Last of the Line (Sukunsa viimeinen) (2010),Drama,1380232,408956,Qxk7vnJwh5U,672,1,0,0
74679,2010,In the Shadow of Doubt (Epí€Œ_ilyksen varjossa) (2010),Documentary,1433856,0,QAdjnumtmXs,2387,22,2,4
74685,2010,"Crazies, The (2010)",Action|Drama|Horror|Sci-Fi|Thriller,455407,29427,J7w9uWFIMBs,2896615,5617,245,2096
74688,2010,Dear John (2010),Drama|Romance|War,989757,22971,r0fq5dd0C60,10889073,29823,784,4522
74698,2010,Tooth Fairy (2010),Comedy|Fantasy,808510,23023,JqnjK79fGSw,2921635,4384,586,806
74787,2010,My Name is Khan (2010),Drama|Romance,1188996,26022,JEpqz33vKus,1046290,4562,170,391
74789,2010,Alice in Wonderland (2010),Adventure|Fantasy|IMAX,1014759,12155,9POCgSRVvf0,6054613,12610,678,1557
74795,2010,Green Zone (2010),Action|Drama|Thriller|War,947810,22972,e3KJ21TLKVE,1276781,1449,123,316
74851,2010,From Paris with Love (2010),Action|Crime,1179034,26389,t40DINNGjYE,302438,552,36,4
74916,2010,Greenberg (2010),Comedy|Drama,1234654,27583,cwdliqOGTLw,228675,331,20,59
74944,2010,Brooklyn's Finest (2010),Crime|Drama|Thriller,1210042,26390,7XfcwkjnknI,762437,645,38,403
74946,2010,She's Out of My League (2010),Comedy,815236,34016,oWJJGXvL7PM,3477669,3557,195,866
75341,2010,Remember Me (2010),Drama|Romance,1403981,23169,iFFas72-dTY,1095960,3783,135,362
75395,2010,Frozen (2010),Drama|Horror|Thriller,1323045,44363,GiUNsDVjCbo,2579897,4567,912,2386
75438,2010,Nine Dead (2010),Crime|Mystery|Thriller,959329,34335,B0D9yqV3Aas,1165516,837,147,678
75803,2010,Our Family Wedding (2010),Comedy,1305583,34563,wKfmsOfYNh8,1991903,3316,174,824
75805,2010,"Bounty Hunter, The (2010)",Action|Comedy|Romance,1038919,27573,i3tsaNcem9M,42625,71,3,2
75985,2010,Repo Men (2010),Action|Sci-Fi|Thriller,1053424,31867,jl9Nvg4yuus,4199027,3874,758,2065
76077,2010,Hot Tub Time Machine (2010),Comedy|Sci-Fi,1231587,23048,EM0VwEkxWTg,214304,583,43,18
76093,2010,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,892769,10191,1huZhKwhIQc,698669,1307,67,104
76175,2010,Clash of the Titans (2010),Action|Adventure|Drama|Fantasy,800320,18823,TfyunOnMGqM,203789,532,46,28
76217,2010,Bass Ackwards (2010),Drama,1445202,39830,rAk8t0iTf0w,1018,2,0,0
76251,2010,Kick-Ass (2010),Action|Comedy,1250777,23483,2rpXHqnGDXo,985605,1529,69,399
76293,2010,Date Night (2010),Action|Comedy|Romance,1279935,35056,aspBKFz2dBI,4629666,4435,197,942
76738,2010,Steam of Life (Miesten vuoro) (2010),Documentary,1583323,52903,p5HfmtU25ww,548967,481,64,58
76753,2010,"Final, The (2010)",Drama|Horror|Thriller,1390535,34583,AZ4kMo2ATdI,1129214,2105,182,900
76755,2010,Peacock (2010),Thriller,1188113,11761,NPEzcAG4E5s,613142,902,52,281
76763,2010,"Runaways, The (2010)",Drama|Musical,1017451,27586,uHpEJ749TRM,3231428,7782,328,1891
77191,2010,Death at a Funeral (2010),Comedy,1321509,34803,LkbR3nQqcrk,1788209,3000,405,918
77206,2010,Diary of a Wimpy Kid (2010),Children|Comedy,1196141,33217,T1x0bYr0bgY,1152137,3239,175,507
77300,2010,Lego: The Adventures of Clutch Powers (2010),Action|Animation,1587414,33427,DBROpeHvel0,148728,118,22,32
77349,2010,As Good as Dead (2010),Thriller,1294136,35656,o2Oev2LZudg,35003,44,3,3
77364,2010,"Losers, The (2010)",Action|Adventure|Drama|Mystery|Thriller,480255,34813,cm5q8BXSmhI,243774,840,47,39
77414,2010,"Last Song, The (2010)",Drama|Romance,1294226,35690,vZH0Nf4KLBo,5533905,20225,851,270
77421,2010,Cyrus (2010),Comedy|Drama|Romance,1336617,39053,0G0bYpMQ-fI,2059596,2170,163,767
77455,2010,Exit Through the Gift Shop (2010),Comedy|Documentary,1587707,39452,oHJBdDSTbLw,1351760,2340,114,198
77561,2010,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX,1228705,10138,BoohRoVA9WQ,1047665,4197,188,262
77629,2010,Reindeerspotting - Pako joulumaasta (2010),Documentary,1584813,45615,J9Q6MQmcAhc,484641,719,37,330
77665,2010,Marmaduke (2010),Comedy,1392197,38579,AXXzwy7lDtI,153106,399,125,94
77667,2010,MacGruber (2010),Action|Comedy,1470023,37931,xQHHHBkigDY,160604,377,32,17
77672,2010,Ca$h (2010),Crime|Thriller,1106860,27004,AzWQBq_Xltk,129799,136,13,18
77798,2010,"Nightmare on Elm Street, A (2010)",Fantasy|Horror|Thriller,1179056,23437,ZuYoEtEI_go,3608032,12742,928,1412
77800,2010,Four Lions (2010),Comedy|Drama,1341167,37495,Ew-SrlQ9tlI,3622036,9225,520,1598
77818,2010,Gunless (2010),Action|Comedy|Drama|Western,1376195,43090,QK-Md46Exxs,543366,218,36,66
77820,2010,Furry Vengeance (2010),Children|Comedy,492389,35169,FQAx4_So3UE,134706,422,72,91
77833,2010,Armadillo (2010),Documentary|Drama,1640680,37828,LcwrLV-H5UU,83536,138,10,17
77837,2010,You Don't Know Jack (2010),Drama,1132623,36950,Uoe8nZDLuLY,159001,184,5,28
77866,2010,Robin Hood (2010),Action|Adventure|Drama|Romance|War,955308,20662,fQ6zXDSgwIY,1111405,2148,153,147
78022,2010,Halo Legends (2010),Action|Animation|Sci-Fi,1480660,31261,aicPLFajPiU,,439,54,20
78034,2010,Cemetery Junction (2010),Comedy|Drama|Romance,1196204,36801,qksD3IXyDGU,20268,72,2,4
78039,2010,Blue Valentine (2010),Drama|Romance,1120985,46705,aILx69WrRhQ,657039,2172,75,120
78041,2010,Killers (2010),Action|Comedy,1103153,37821,jE-i7GnoCCA,544166,1890,76,34
78086,2010,Death and Cremation (2010),Thriller,1484954,39453,LDLEOaXHzBY,20445,50,0,18
78088,2010,Buried (2010),Mystery|Thriller,1462758,26388,aRQ0oqFBoP4,1246934,3697,238,759
78105,2010,Prince of Persia: The Sands of Time (2010),Action|Adventure|Fantasy|Romance|IMAX,473075,9543,bZ7Li5w2I-k,5100370,8142,447,1590
78116,2010,Please Give (2010),Comedy|Drama,878835,40247,zi9WlsYCr-k,524988,241,27,46
78128,2010,True Legend (Su Qi-Er) (2010),Action|Drama,1425257,37034,8rREc1qH5k8,858416,641,42,122
78174,2010,Sex and the City 2 (2010),Comedy|Drama|Romance,1261945,37786,pY7sAJm8Fuk,627091,1454,146,53
78209,2010,Get Him to the Greek (2010),Comedy,1226229,32823,N6ixkr0-qvo,4366617,5119,451,1284
78218,2010,Unthinkable (2010),Drama|Thriller,914863,38199,#NAME?,292722,96,30,74
78247,2010,"Drawn Together Movie: The Movie!, The (2010)",Animation|Comedy,1546036,36736,KXx_cyfN49M,1009873,1931,230,622
78251,2010,Friendship! (2010),Comedy,1247657,35217,_rLSBsLhvcw,466844,551,24,31
78264,2010,"Back-up Plan, The (2010)",Comedy|Romance,1212436,34806,cut4IW0oz1w,1069145,2282,77,81
78290,2010,Burnt by the Sun 2 (Utomlyonnye solntsem 2) (2010),Drama,403645,38318,ATq6UtYb_e4,43538,67,12,20
78316,2010,Letters to Juliet (2010),Drama|Romance,892318,37056,8j0qMY-LeKM,699826,9358,80,88
78321,2010,"41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It, The (2010)",Comedy,1498870,38570,Tkp6w9nx5s0,10278,34,12,25
78410,2010,Chance Pe Dance (2010),Comedy|Drama|Romance,1392744,30695,4vg7KDwXUaQ,117683,225,12,15
78467,2010,Jonah Hex (2010),Action|Drama|Thriller|Western,1075747,20533,_l0zSd_DQQ4,4684794,5228,432,1641
78469,2010,"A-Team, The (2010)",Action|Comedy|Thriller,429493,34544,exyzEFrmLuM,440332,913,49,86
78499,2010,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,435761,10193,JcpWXaA2qeg,9013843,9742,1896,875
78517,2010,Joan Rivers: A Piece of Work (2010),Documentary,1568150,41397,eM4zqYR_lKg,47898,158,1,15
78574,2010,Winter's Bone (2010),Drama|Thriller,1399683,39013,5O8F8JtSVmI,1818045,3113,168,947
78633,2010,Casino Jack and the United States of Money (2010),Documentary,1540814,44999,QX6UiFOr8uM,37325,86,2,15
78637,2010,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,892791,10192,9A5DW_Hrbo8,12,0,0,0
78679,2010,"Killer Inside Me, The (2010)",Crime|Drama|Thriller|Western,954947,37414,1I4rDHxzeCg,316454,249,30,33
78759,2010,"Special Relationship, The (2010)",Drama,1117646,45371,O_W1fRm0NM0,29337,79,6,10
78772,2010,"Twilight Saga: Eclipse, The (2010)",Fantasy|Romance|Thriller|IMAX,1325004,24021,kX2DKZcDM-o,162581,827,21,35
78871,2010,"Genesis Found, A (2010)",Adventure|Mystery,1381773,65043,YoHD9XEInc0,5624174,28096,636,1665
78873,2010,Accident on Hill Road (2010),Crime|Drama|Thriller,1570417,32866,M42KcU7oyLA,15172,5,2,0
78893,2010,"Last Airbender, The (2010)",Action|Adventure|Fantasy,938283,10196,AtmJtEbFCqA,123542,120,20,40
78974,2010,Malice N Wonderland (2010),Drama|Musical,1594971,0,251Bvn2NakI,104350,178,21,45
78976,2010,Stones in Exile (2010),Documentary|Musical,1609157,40636,UXcqcdYABFw,581243,649,16,99
79057,2010,Predators (2010),Action|Sci-Fi|Thriller,1424381,34851,N2jJOy8rzog,1338035,4011,178,550
79091,2010,Despicable Me (2010),Animation|Children|Comedy|Crime,1323594,20352,sUkZFetWYY0,17156909,15451,4873,911
79132,2010,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,1375666,27205,YoHD9XEInc0,5624174,28096,636,1665
79134,2010,Grown Ups (2010),Comedy,1375670,38365,e01NVCveGkg,5554300,6338,481,1418
79139,2010,"Sorcerer's Apprentice, The (2010)",Action|Adventure|Children|Comedy|Fantasy,963966,27022,v2uV0_1C4UM,2729539,4383,271,293
79185,2010,Knight and Day (2010),Action|Comedy|Romance,1013743,37834,JGPl86DBNNs,3179431,8719,224,665
79224,2010,"Karate Kid, The (2010)",Action|Children|Drama,1155076,38575,XY8amUImEu0,15725544,18932,2140,11771
79242,2010,"Kids Are All Right, The (2010)",Comedy|Drama,842926,39781,RixlpHKfb6M,720221,1249,86,133
79251,2010,"Serbian Film, A (Srpski film) (2010)",Horror|Thriller,1273235,73861,eti8DMptId0,1588445,4777,687,1050
79274,2010,Batman: Under the Red Hood (2010),Action|Animation,1569923,40662,A2c9MsP3OVs,1888169,3091,66,1294
79293,2010,Salt (2010),Action|Thriller,944835,27576,QZ40WlshNwU,7156134,8394,523,2512
79344,2010,Dark Island (2010),Action|Sci-Fi|Thriller,1043651,37816,hBE2RGRDnUo,44310,49,9,9
79428,2010,Dinner for Schmucks (2010),Comedy,427152,38778,#NAME?,2839989,4526,288,1103
79430,2010,8: The Mormon Proposition (2010),Documentary,1484522,40428,ezwIZo-hKiI,81920,336,95,638
79463,2010,Nanny McPhee Returns (a.k.a. Nanny McPhee and the Big Bang) (2010),Children|Comedy|Fantasy,1415283,35019,gNu1SY-Dxe0,55,1,0,0
79515,2010,Farsan (2010),Comedy,1570966,32497,UYSNR6OnYCE,36964,37,3,5
79553,2010,Ip Man 2 (2010),Action,1386932,37472,4ynwOQX1A7k,50607,119,9,5
79570,2010,Lucky (2010),Documentary,1159712,63075,vWdee0OzSZI,7143,3,2,8
79572,2010,Ramona and Beezus (2010),Children|Comedy,493949,38843,VP5FW5KA6Go,643703,2260,113,288
79588,2010,Charlie St. Cloud (2010),Drama|Fantasy|Romance,1438254,37950,MzgOvvMi8Lg,9866086,37941,920,4413
79592,2010,"Other Guys, The (2010)",Action|Comedy,1386588,27581,D6WOoUG1eNo,7308610,11191,406,2492
79599,2010,Operation Endgame (2010),Action|Comedy|Drama,1268987,41135,4JXIe34PwKU,442825,356,26,89
79677,2010,"Two Escobars, The (2010)",Crime|Documentary,1522863,53190,PHzixowbbYU,1126665,1521,103,170
79695,2010,"Expendables, The (2010)",Action|Adventure|Thriller,1320253,27578,8KtYRALe-xo,1326701,2961,135,270
79702,2010,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance,446029,22538,7wd5KEaOtm4,2712136,20663,473,2367
79720,2010,Animal Kingdom (2010),Crime|Drama,1313092,44629,YNszOl14AWg,996407,911,98,278
79741,2010,See What I'm Saying: The Deaf Entertainers Documentary (2010),Documentary,1125387,96108,vScL4xt7iqw,56273,88,1,13
79769,2010,Raajneeti (2010),Crime|Drama|Romance,1291465,37951,e8pV8VmiHkQ,174976,670,33,23
79796,2010,Centurion (2010),Action|Adventure|Drama|Thriller|War,1020558,23759,KOZs2_i_cDE,5812360,7472,676,3849
79824,2010,Babies (Bí€Œï¿_bí€Œï¿_(s)) (2010),Documentary,1020938,44737,4fk2prKnYnI,38595284,179865,4439,12752
79842,2010,For Neda (2010),Documentary,1671630,79829,F48SinuEHIk,418071,,,
79850,2010,12th & Delaware (2010),Documentary,1548865,44806,00EubQxdedM,3920,3,1,0
79860,2010,"Experiment, The (2010)",Drama|Thriller,997152,43549,JlUkzfITiSs,4125373,7626,460,2003
79870,2010,Smash His Camera (2010),Documentary,1280015,47912,XS5Tvp8l9bY,301,2,0,0
79879,2010,Piranha (Piranha 3D) (2010),Action|Horror|Thriller,464154,43593,NdMO51GaTMs,3132562,2108,478,824
79895,2010,"Extraordinary Adventures of Adí€Œï¿_le Blanc-Sec, The (2010)",Action|Adventure|Fantasy|Mystery,1179025,35552,T_c_Uo7No5A,266235,562,30,34
79974,2010,Pyaar Impossible (2010),Comedy|Romance,1351224,29538,gPvuZ329qE0,270761,641,45,40
79987,2010,Gainsbourg (Vie Hí€Œï¿_roí€Œï¿_que) (2010),Drama|Musical|Romance,1329457,31900,UdlfDTD2rs0,155918,188,8,11
80026,2010,Tekken (2010),Action|Sci-Fi,411951,42194,eiovajPBOWI,770650,2470,1636,1576
80054,2010,Blood into Wine (2010),Documentary,1394383,37259,zs7QNAStPC8,13932,43,1,2
80094,2010,"Last Exorcism, The (2010)",Horror|Thriller,1320244,38358,F3cI0pArMA0,56472,178,17,22
80126,2010,"American, The (2010)",Drama|Thriller,1440728,27579,hPYRslx1w4Y,352956,438,49,23
80137,2010,If God Is Willing and da Creek Don't Rise (2010),Documentary,1587373,96451,6o4tcxT-S1E,13705,35,0,4
80166,2010,"Switch, The (2010)",Comedy|Romance,889573,41210,sTDzGVO-C38,151563,706,33,35
80185,2010,GasLand (2010),Documentary,1558250,40663,dZe1AeH0Qz8,2425453,7321,320,1914
80193,2010,No One Dies in Lily Dale (2010),Documentary,1609145,139433,1JjCkPdxGPo,1902,5,1,0
80204,2010,Vesku from Finland (Vesku) (2010),Documentary,1539086,103745,MwR4aYfswzA,2835,9,1,1
80219,2010,Machete (2010),Action|Adventure|Comedy|Crime|Thriller,985694,23631,XXiuT5Zd8Do,693773,1164,98,177
80222,2010,Step Up 3D (2010),Drama|Romance,1193631,41233,TZe1Qz2twbE,783239,1497,44,22
80241,2010,Going the Distance (2010),Comedy|Romance,1322312,38073,hU4YbHeoYGs,230402,609,17,21
80324,2010,Abandoned (2010),Drama|Mystery|Thriller,1470171,43642,3NXOmwYYBFY,17734,22,6,4
80350,2010,Vampires Suck (2010),Comedy,1666186,40264,Gw1oGbdXzoU,926230,2887,260,430
80363,2010,Resident Evil: Afterlife (2010),Action|Horror|Sci-Fi|Thriller|IMAX,1220634,35791,iFwuzkZ2idM,32314,223,10,6
80376,2010,Preacher's Kid (2010),Drama,1328913,35716,yNbXH34dIOw,653804,3990,103,59
80398,2010,22 Bullets (L'immortel) (2010),Action|Crime|Thriller,1167638,37645,tVwiLO_GQmw,52591,45,0,12
80454,2010,Princess (Prinsessa) (2010),Drama,1428453,60678,uQBy6jqbmlU,8387003,6991,1962,86
80463,2010,"Social Network, The (2010)",Drama,1285016,37799,lB95KLmpLR4,11255971,30169,1424,8117
80469,2010,Superman/Batman: Apocalypse (2010),Animation,1673430,45162,VoW0m4Li2Bg,185752,208,17,18
80489,2010,"Town, The (2010)",Crime|Drama|Thriller,840361,23168,WcXt9aUMbBk,4635005,15205,548,712
80498,2010,Some Days Are Better Than Others (2010),Drama,1328867,85819,It2iC9DqZp4,39903,130,5,25
80549,2010,Easy A (2010),Comedy|Romance,1282140,37735,KNbPnqyvItk,8823287,20616,602,3128
80551,2010,Eat Pray Love (2010),Drama|Romance,879870,38167,mjay5vgIwt4,5356652,9443,540,1483
80553,2010,Howl (2010),Drama,1049402,38568,Ba9yazkl0UE,793303,1592,65,232
80557,2010,Camp Hell (2010),Thriller,1047449,45778,2kP0qO-F1bk,36530,58,7,13
80572,2010,I'm Still Here (2010),Comedy|Drama,1356864,43939,cDwdYsOeSXw,165837,479,21,25
